pmid,title,abstract,date,journal,publication_type,year,classification
34953030,Attenuated alpha-gamma coupling in emotional dual pathways with right-Amygdala predicting ineffective antidepressant response.,"The diversity of treatment outcomes for major depressive disorder (MDD) remains uncertain in neuropathology. The current study aimed at exploring electrophysiological biomarkers associated with treatment response. The present study recruited 130 subjects including 100 MDD patients and 30 healthy controls. All subjects participated in a sad expression recognition task while their magnetoencephalography data were recorded. Patients who had a reduction of at least 50% in disorder severity at endpoint (>2 weeks) were considered as responders. Within-frequency power and phase-amplitude coupling were measured for the brain regions involved in the emotional visual information processing pathways. The significant alpha-gamma decoupling from the right thalamus to the right amygdala in unconscious processing and from right orbital frontal cortices to the right amygdala in conscious processing was found in non-responders relative to responders and healthy controls. These kinds of dysregulation could also predict the potential treatment response. The attenuated alpha-gamma coupling in dual pathways indicated increased sensitivity to the negative emotional information and reduced moderated effect of the amygdala, which might cause insensitivity to antidepressant treatment and could be regarded as potential neural mechanisms for treatment response prediction.",2022-Mar,CNS neuroscience & therapeutics,Journal Article,2022,YES
34866649,The impact of adverse childhood experiences and recent life events on anxiety and quality of life in university students.,"Adverse childhood experiences (ACEs) have been repeatedly associated with a wide range of physical and mental health issues. Research has indicated high levels of anxiety and depression among university students, and a few studies have documented the relationship between ACEs and anxiety in the university student population. This study surveyed first year students at a university located in the most ethnically diverse district in England, with the second highest poverty rate. Eight hundred and fifty-eight responded; a response rate of 12%. The survey included questions about adverse childhood events, recent life stressors, current deprivation, quality of life, positive physical health and positive mental health, and used the Generalized Anxiety Disorder Scale, a standardised measure. Thirty-seven percent of the responding students met the diagnosis for generalised anxiety disorder. In a multivariate multiple regression model, life stressors and childhood adversities were significantly associated with higher levels of anxiety and lower levels of physical and mental health. Only childhood adversities significantly predicted lower levels of quality of life. The findings highlight the importance of considering adverse childhood experiences in enhancing the wellbeing of the student population. Given the demographics of the student population at the University of East London, the high rates of ACEs and anxiety are likely to partially reflect poverty and racism. The implications of the findings for trauma-informed policies and practices in universities are discussed. The online version contains supplementary material available at 10.1007/s10734-021-00774-9.",2022,Higher education,Journal Article,2022,YES
35028216,"Fear, Psychological Impact, and Coping During the Initial Phase of COVID-19 Pandemic Among the General Population in India.","Introduction Public health emergencies such as pandemics affect the health, safety, and well-being of both individuals and societies. Thus, this study aims to better understand the fear due to coronavirus disease (COVID) and associated levels of anxiety, depression, stress, and coping in the general public of India during the initial stage of the COVID-19 outbreak. Materials and methods This was a cross-sectional study to assess the psychological impact of COVID-19 and coping levels among the general population during the coronavirus pandemic's initial phase. An online survey was conducted using a snowball sampling technique. Results A total of 489 people responded to the survey. The prevalence rates of depression, anxiety and stress were 27.2%, 21.5%, and 15.3% respectively. Female gender, age below 35 years, history of medical or psychiatric illness, and those who had personal contact with persons with COVID-19 were significantly associated with presence of depression, anxiety, and stress whereas spending more than 1 hour on COVID-19-related information was associated with significant stress. Conclusion This study concludes that the prevalence rates of psychological problems were high during the COVID-19 pandemic. These are directly related to the fear associated with COVID-19 but had an inverse relationship with the resilient coping levels.",2021-Dec,Cureus,Journal Article,2021,YES
34855932,COVID-19 infodemic and adult and elderly mental health: a scoping review.,"to map scientific knowledge about the repercussions of the infodemic on adult and elderly mental health in the context of the COVID-19 pandemic. this is a scoping review, developed using the Joanna Briggs Institute (JBI) methodology, which included 33 articles. These articles were analyzed according to average age, gender and education level; place and period of the studies; exposure time to COVID-19 information; main signs and symptoms related to mental health; main sources of information; suggestions for mitigating the effects of the infodemic; and knowledge gaps. the most present repercussions of the infodemic on the adult and elderly mental health were anxiety, depression and stress, and the most affected group was young adults and females. future studies with more robust designs are needed to investigate the repercussions of the infodemic on people's mental health in the medium and long term, as well as to assess the effects, feasibility, cost-benefit and meaning of interventions in population groups, especially in the elderly population.",2021,Revista da Escola de Enfermagem da U S P,Journal Article,2021,YES
34910960,"Comorbid depression and obesity among adults in Germany: Effects of age, sex, and socioeconomic status.","Depression and obesity are common health problems with major public health implications. These conditions frequently co-occur, adversely affecting the course of the other. The sociodemographic and socioeconomic risk factors for comorbid depression and obesity in the German adult population have not yet been reported. We analyzed the prevalence and sociodemographic and socioeconomic correlates of comorbid depression and obesity using cross-sectional data from the national German health interview and examination survey for adults (DEGS1; n = 7987) and its mental health module (DEGS1-MH; n = 4493). The Composite International Diagnostic Interview was used to diagnose major depressive disorder (CIDI-MDD). Sensitivity was analyzed using the self-reported depression measure and current depressive symptoms measured by Patient Health Questionnaire-9 (PHQ-9). Obesity was defined by body mass index calculated from measured data. Prevalence of comorbid depression and obesity was 1.3% (95% CI 0.8-2.0) in men and 2.0% (95% CI 1.3-3.0) in women. We found significant sex differences in results from the self-reported depression measure and the PHQ-9, but not from the CIDI-MDD. Low socioeconomic status and poor social support were linked to a higher prevalence of comorbid depression and obesity among women. Severe depression may have been underreported. Depression is statistically more prevalent in women than in men, which accounts for many of the sex differences in the prevalence of comorbid depression and obesity in our models. Targeted public health strategies need to be developed to prevent and treat comorbid depression and obesity in women with a low socioeconomic position.",2022-Feb-15,Journal of affective disorders,Journal Article,2022,YES
34850475,"Panic-like responses of female Wistar rats confronted by Bothrops alternatus pit vipers, or exposure to acute hypoxia: Effect of oestrous cycle.","Anxiety-related diseases are more than twice as common in women than in men, and in women, symptoms may be exacerbated during the late luteal phase of the menstrual cycle. Despite this, most research into the underlying mechanisms, which drives drug development, have been carried out using male animals. In an effort to redress this imbalance, we compared responses of male and female Wistar rats during exposure to two unconditioned threatening stimuli that evoke panic-related defensive behaviours: confrontation with a predator (Bothrops alternatus) and acute exposure to hypoxia (7% O<sub>2</sub> ). Threatened by venomous snake, male and female rats initially displayed defensive attention, risk assessment, and cautious interaction with the snake, progressing to defensive immobility to overt escape. Both males and females displayed higher levels of risk assessment but less interaction with the predator. They also spent more time in the burrow, displaying inhibitory avoidance, and more time engaged in defensive attention, and non-oriented escape behaviour. In females, anxiety-like behaviour was most pronounced in the oestrous and proestrus phases whereas panic-like behaviour was more pronounced during the dioestrus phase, particularly during late dioestrus. Acute hypoxia evoked panic-like behaviour (undirected jumping) in both sexes, but in females, responsiveness in late dioestrus was significantly greater than at other stages of the cycle. The results reveal that females respond in a qualitatively similar manner to males during exposure to naturally occurring threatening stimuli, but the responses of females is oestrous cycle dependent with a significant exacerbation of panic-like behaviour in the late dioestrus phase.",2022-Jan,The European journal of neuroscience,Journal Article,2022,YES
36184843,The role of life satisfaction in the association between problematic technology use and anxiety in children and adolescents during the COVID-19 pandemic.,"The main aim of this study is to explore problematic technology use among adolescents (Internet, video games, mobiles, and television) and its association with anxiety symptoms. Furthermore, we also analysed the possible moderating role of life satisfaction in this relationship during the COVID-19 pandemic in Spain. A cross-sectional survey of 4025 children and adolescents (52% females and 48% males) between 12 and 18 years old was carried out to explore problematic technology use and its correlation with anxiety and life satisfaction after pandemic lockdown. Four multivariate regressions containing the independent variable (problematic technology use), the moderator (life satisfaction), and their interaction were entered to predict the outcome (anxiety). The moderated models were examined using SPSS PROCESS macro software (Model 1). Analyses showed significant positive correlations with anxiety and negative correlations with life satisfaction regarding problematic technology use (mobile phone, television, and internet). Both gender and age had a significant direct effect on anxiety (showing that women and older participants had the greatest anxiety). In the moderation analysis, when life satisfaction was higher, the presence of anxiety symptoms depended to a greater extent on the problematic use of technology. Our results confirm that problematic technology use is related to higher levels of anxiety in adolescents, with differences by age and gender. The results also showed that life satisfaction mediated the relationship between technology abuse and anxiety, such that when life satisfaction was higher, the presence of anxiety symptoms was more dependent on problematic technology use. These findings have implications for health and education professionals.",2023-Feb,International journal of mental health nursing,Journal Article,2023,YES
36206887,Anticipatory cues in emotional processing shift the activation of a combined salience sensorimotor functional network in drug-naïve depressed patients.,"Major depressive disorder is characterized by a large-scale brain network dysfunction, contributing to impairments in cognitive and affective functioning. Core regions of default mode, limbic and salience networks are also impaired in emotional processing and anticipation. This study aimed to explore default mode, salience, and limbic networks modulation during the processing of emotional stimuli with and without anticipatory cues in depression, and further investigate how these networks were functionally coupled with the rest of the brain. Twenty-one drug-naïve depressed patients and 15 matched controls were included in the study. All participants completed a psychological assessment and the affective pictures paradigm during an fMRI acquisition. Group independent component analysis and psychophysiological interactions analyses were performed. A significant interaction between Cue, Valence and Group was found for the salience/sensorimotor network. When processing uncued emotional stimuli, patients showed increased activation of this network for negative vs. neutral pictures, whereas when anticipatory cues were displayed previously to the picture presentation, they invert this pattern of activation (hyperactivating the salience/sensorimotor network for positive vs. neutral pictures). Patients showed increased functional connectivity between the salience/sensorimotor network and the left amygdala as well as the right inferior parietal lobule compared to controls when processing uncued negative pictures. The sample size was modest, and the salience/sensorimotor network included regions not typically identified as part of salience network. Thus, this study should be replicated to further interpret the results. Anticipatory cues shift the pattern of activation of the salience/sensorimotor network in drug-naïve depressed patients.",2023-Jan-01,Journal of affective disorders,Journal Article,2023,YES
36186361,The role of English as a foreign language learners' grit and foreign language anxiety in their willingness to communicate: Theoretical perspectives.,"Learners' willingness to communicate in a foreign language is regarded as a critical issue in educational contexts, so the role of emotional factors in learners' willingness to communicate has drawn the attention of investigators. This review investigated the studies on the relationship between English as a Foreign Language (EFL) learners' grit, foreign language anxiety, and willingness to communicate. This review showed a significant relationship between learners' grit and willingness to communicate. The earlier studies showed that gritty learners with incessant inspiring efforts are more likely to communicate in a foreign language. This review also indicated that lower anxious learners tend to have more willingness to communicate. Earlier studies also indicated that the theories, such as broaden-and-build, positive psychology, dynamic system, affective filter, and attentional control can justify the relationships between these constructs. Moreover, the study has some pedagogical implications and suggestions for teachers, learners, syllabus designers, material developers, teacher educators, policy-makers, and advisors. The ideas can improve their awareness of teachers' willingness to communicate, grit, and foreign language anxiety in educational environments.",2022,Frontiers in psychology,Journal Article,2022,YES
36495619,Childhood abuse and cortical gray matter volume in patients with major depressive disorder.,"Childhood abuse is associated with brain structural alterations; however, few studies have investigated the association between specific types of childhood abuse and cortical volume in patients with major depressive disorder (MDD). We aimed to investigate the association between specific types of childhood abuse and gray matter volumes in patients with MDD. Seventy-five participants with MDD and 97 healthy controls (HCs) aged 19-64 years were included. Cortical gray matter volumes were compared between MDD and HC groups, and also compared according to exposure to each type of specific childhood abuse. Emotional, sexual, and physical childhood abuse were assessed using the 28-item Childhood Trauma Questionnaire. Patients with MDD showed a significantly decreased gray matter volume in the right anterior cingulate gyrus (ACG). Childhood sexual abuse (CSA) was associated with significantly decreased gray matter volume in the right middle occipital gyrus (MOG). In the post-hoc comparison of volumes of the right ACG and MOG, MDD patients with CSA had significantly smaller volumes in the right MOG than did MDD patients without CSA or HCs. The right MOG volume decrease could be a neuroimaging marker associated with CSA and morphological changes in the brain may be involved in the pathophysiology of MDD.",2023-Jan,Psychiatry research,Journal Article,2023,YES
36711419,The positive effect of mother-performed infant massage on infantile eczema and maternal mental state: A randomized controlled trial.,"To observe the influence of MPIM on infantile eczema, quality of life, growth and maternal mental state. This trial was a randomized controlled study. Sixty-six full-term infants with eczema were randomly divided into eczema control group (EC group, <i>n</i> = 33) and eczema with MPIM group (EM group, <i>n</i> = 33), along with healthy full-term infants in the healthy control group (HC group, <i>n</i> = 31). The mothers in the EC group received the instruction of routine care, while the mothers in the EM group applied massage on the infants plus receiving the same instruction of the routine care. HC group received none of any specific intervention. Data were collected in the three groups at the baseline and at the end of 2- and 5-month intervention. Before and at the end of 2-month intervention, the following indexes were investigated in infants including the growth indexes, eczema area severity index (EASI), infantile dermatitis quality of life index (IDQOL). And the scores of self-rating anxiety scale (SAS) and self-rating depression scale (SDS) were investigated in mothers at the same timepoints. At the end of 5-month intervention, the infants' growth and relapse condition of eczema were observed. Overall, 31 cases in HC group, 31 in EC group and 32 in EM group were included for data analysis. There were no significant differences in the indexes of infantile growth among the three groups (all <i>P</i> >0.05). The scores of EASI and IDQOL significantly lowered (both <i>P</i> < 0.001) in EC group following the instruction of routine care, along with reduced maternal scores of SAS and SDS (both <i>P</i> < 0.05). Compared with the EC group, the EM group showed significantly lower scores of EASI and IDQOL (both <i>P</i> < 0.001) and lower relapse rate (<i>P</i> < 0.01) in infants with eczema, along with significantly lower scores of SAS and SDS in mothers (both <i>P</i> < 0.01). Moreover, none of obvious adverse reaction was reported following MPIM, to which most of the mothers could adhere. MPIM could effectively promote the remission of infantile eczema and reduce its relapse, along with relieving maternal anxiety and depression mood. Identifier: ChiCTR2200066246.",2022,Frontiers in public health,Journal Article,2022,YES
36434937,Comparison on the clinical features in patients with or without treatment-resistant depression: A National Survey on Symptomatology of Depression report.,"Patients with treatment-resistant depression (TRD) have fewer treatment options and worse prognoses than those without TRD. Although the etiology or pathophysiology of TRD remains unclear, certain clinical variables have been found to be related to its severity and prognosis. Therefore, 1151 patients with recurrent depression were recruited from the National Survey on Symptomatology of Depression (NSSD) and their depressive symptoms were assessed by using the doctor-rating assessment questionnaire. Then, the differences between patients with or without TRD were compared by parametric or nonparametric tests and the risk factors for TRD were explored by logistic regression. The results showed there were differences in clinical variables between patients with and without TRD. Additionally, we found depression with more somatic symptoms had a higher risk for TRD. Further analysis by stepwise logistic regression showed that age, gender, religious belief, drinking habit, the total course of depression, the number of hospitalizations, characteristics of seasonal episode remission, depressed mood, hypersexuality, emotionally incoherent psychotic symptoms, psychomotor agitation, respiratory system symptoms and history of suicide attempts were strongly associated with TRD. So, it is crucial for clinicians to identify these clinical features and adjust treatments timely.",2023-Jan,Psychiatry research,Journal Article,2023,YES
36204172,Psychiatric Uses of Gabapentin.,"This article reviews evidence-based psychiatric uses of gabapentin, along with associated risks. An extensive literature review was conducted, primarily of articles searchable in PubMed, relating to psychiatric uses, safety, and adverse effects of gabapentin. Evidence supports gabapentin as a treatment for alcohol withdrawal and alcohol use disorder. There is sufficient evidence to consider gabapentin as a third-line treatment for social anxiety disorder and severe panic disorder. Evidence does not support the use of gabapentin for bipolar disorder, major depressive disorder (MDD), posttraumatic stress disorder (PTSD), obsessive compulsive disorder (OCD), stimulant use disorder, or opioid withdrawal. Risks of gabapentin use are highest among those with a history of a substance use disorder and those concurrently taking opioids. While gabapentin has a place in psychiatry for a select few indications, the literature does not support its use for many studied diagnoses.",2022,Innovations in clinical neuroscience,Journal Article,2022,YES
40477751,[Digital health literacy and well-being].,"Previous findings suggest that depressive and anxiety-related symptoms have doubled among students since the beginning of the coronavirus pandemic. Digital health literacy can act as a protective resource to strengthen well-being. This paper analyzes the relationship between digital health literacy, socioeconomic status, well-being and future-anxiety among students in Austria. A total of 480 students from Austrian higher education institutions were surveyed via online questionnaire during the second wave of the coronavirus pandemic. Sociodemographic data, students' self-assessments of well-being, fears about the future, and digital health literacy were collected. Variance and regression analyses were used for the evaluation. About 50% of the students reported low well-being and distinct fears about the future. Regarding digital health literacy, the ability to assess the relevance of information showed the highest correlation with well-being. A higher socioeconomic status correlated with higher well-being as well as lower fears about the future. The assessment of the relevance of information and connecting it with one's own life reality seems to be an important factor in promoting well-being. Individual factors such as gender or the study program are relevant for the relationship between well-being and digital health literacy.",2023,Pravention und Gesundheitsforderung,Journal Article,2023,YES
36243227,A Direct Patient-Provider Relationship With the Medical Physicist Reduces Anxiety in Patients Receiving Radiation Therapy.,"The complex technological processes involved in radiation therapy can be intimidating to patients, causing increased treatment-related anxiety and reduced satisfaction. An intervention was implemented to provide direct consultations between patients and medical physicists to reduce patient anxiety and improve patient satisfaction. A randomized clinical trial was conducted to test the intervention's effect on anxiety, distress, treatment adherence, technical understanding, and satisfaction in patients receiving radiation therapy. Eligible patients were recruited into ""intervention"" and ""standard of care"" arms within a phase 2 screening randomized trial. Intervention-arm patients met with a medical physicist who provided technical information and addressed patient questions or concerns at the time of treatment simulation and before the first treatment. In addition to baseline information collected before randomization, participants were surveyed (1) before simulation, (2) before the first treatment, and (3) before the completion of treatment to evaluate the study endpoints. Primary endpoints included patient anxiety and distress. Secondary endpoints included patient treatment adherence, overall satisfaction, and technical understanding of treatment. Patients in the intervention arm were surveyed before and after each physicist meeting. Participant anxiety was significantly reduced in the intervention arm (difference, -0.29; 95% confidence interval, -0.57 to -0.02; P = .038). No differences in distress or treatment adherence were observed between groups. Although measures of technical understanding and satisfaction were evaluated as exploratory objectives, participants in the intervention group were more likely to feel that technical aspects of treatment were adequately explained (difference, 0.78; 95% confidence interval, 0.03-1.54), and all measures of technical understanding and satisfaction were considerably higher in the intervention group at the time of the first visit. The establishment of a direct patient-provider relationship with the medical physicist reduced anxiety in patients receiving radiation therapy. In addition, increases in patient understanding of the technical aspects of care and in satisfaction were observed at the initiation of treatment.",2023-Jan-01,"International journal of radiation oncology, biology, physics",Journal Article,2023,YES
36699953,Development and Validation of the COVID-19 Worries and Fears Scale.,"<b>Objectives:</b> How individuals perceive the risk of COVID-19 influences their mental health and protective behaviors. Therefore, the development of an instrument to capture COVID-19-related worries and fears is relevant. This study aims to develop and validate the CoV-WoFe to measure COVID-19-related worries and fears. <b>Methods:</b> An online questionnaire was completed by 593 participants during Christmas 2020 and by 328 participants during Summer 2021, from which 88 participants formed a longitudinal sample. <b>Results:</b> Analyses confirmed a robust adjustment for consistency over time and a gender-invariant bifactorial structure. Factor 1 represented worry about the health consequences of COVID-19 and Factor 2 represented the perceived physiological symptoms associated with fear of COVID-19. Construct validity was evidenced by: the expected relations between the CoV-WoFe and other theoretically related constructs; the serial mediating role of both dimensions in the relationship that security values establish with protective behaviors against COVID-19 and with anxiety; and the expected gender differences in the Cov-WoFe. <b>Conclusion:</b> The CoV-WoFe represents a short, valid, reliable, gender-invariant tool that is easy to apply in both the health professional and research context to assessCOVID-19-related worries and fears, which are variables of relevance for spread of the virus and for mental health.",2022,International journal of public health,Journal Article,2022,YES
36194458,A Video-Delivered Family Therapeutic Intervention for Perinatal Women With Clinically Significant Depressive Symptoms and Family Conflict: Indicators of Feasibility and Acceptability.,"Variation in family therapeutic intervention fidelity has an impact on outcomes. The use of video conferencing technology can strengthen therapist fidelity to family therapeutic interventions. This article explores indicators of feasibility and acceptability for a video-delivered family therapeutic intervention for perinatal women with depressive symptoms and family conflict. The objectives of this article are to describe indicators of feasibility, including therapist fidelity to the intervention and technological factors that relate to implementation of the intervention, as well as indicators of acceptability for participants of the intervention. The data included in this article are from an ongoing randomized trial of the Resilience Enhancement Skills Training (REST) video-delivered family therapeutic intervention. Participant recruitment and data collection are still underway for this clinical trial. Of the 106 participants who are currently enrolled in this study, 54 (51%) have been randomized to receive REST from May 2021 through July 2022. Currently, 2 therapists are delivering the intervention, and the training procedures for therapists are summarized herein. Therapist fidelity to the family therapeutic intervention was assessed in 67 audio recorded sessions. The training procedures were summarized for use of video conferencing technology by therapists and the 54 study participants. Knowledge of the video conferencing technology features was assessed in therapists and study participants by the number of attempts required to use the features. Participant responsiveness to the intervention was assessed by the percentage of attended sessions and percentage of complete homework assignments. To date, both therapists have demonstrated high fidelity to the family therapeutic intervention and used all video conferencing technology features on their first attempt. The current participants required 1 to 3 attempts to use 1 or more of the video conferencing technology features. About 59% (n=32) of the current participants immediately accessed the features on the first attempt. Our results show that perinatal women attended all sessions, and their family members attended 80% of the sessions. To date, participants have completed 80% of the homework assignments. These early findings describe indicators of the feasibility and acceptability of the video-delivered family therapeutic intervention for use with this high priority population. Upon completion of recruitment and data collection, a subsequent article will include a mixed methods process evaluation of the feasibility and acceptability of the video-delivered family therapeutic intervention. ClinicalTrials.gov NCT04741776; https://clinicaltrials.gov/ct2/show/NCT04741776.",2022-Oct-04,JMIR formative research,Journal Article,2022,YES
36460125,Salivary cortisol levels and appraisals of daily hassles across dimensions of the tripartite model of anxiety and depression in emerging adults.,"The objective of this study was to investigate how cortisol levels and appraisals of daily hassles differ across tripartite dimensions of depression and anxiety in emerging adults. Data collected from a sample of undergraduate students at a large Midwestern university was used to investigate these aims. This included salivary cortisol data collected over four days, scores on a measure of the tripartite model of anxiety and depression, and scores on a measure of daily hassles administered everyday for two weeks. Generalized estimating equations and multilevel modeling techniques were used to analyze data. Elevated cortisol levels during the awakening period and the evening period, lower total levels across the day, steeper diurnal slopes, and elevated levels of negative affect and physiological hyperarousal predicted experiences of daily hassles. Tripartite dimensions were unrelated to cortisol indices. The present study demonstrates the utility of modeling multiple cortisol indices and provides evidence of differential associations between physiological and phenomenological indices of stress.",2023-Jan,Biological psychology,Journal Article,2023,YES
36592864,Neuregulin-1 reverses anxiety-like behavior and social behavior deficits induced by unilateral micro-injection of CoCl<sub>2</sub> into the ventral hippocampus (vHPC).,"Neuregulin-1 (NRG1) is an epidermal growth factor family member with essential roles in the developing and adult nervous systems. In recent years, establishing evidence has collectively suggested that NRG1 is a new modulator of central nervous system (CNS) injury and disease, with multifaceted roles in neuroprotection, remyelination, neuroinflammation, and other repair mechanisms. NRG1 signaling exerts its effects via the tyrosine kinase receptors ErbB2-ErbB4. The NRG1/ErbB network in CNS pathology and repair has evolved, primarily in recent years. In the present study, we demonstrated that a unilateral microinjection of CoCl<sub>2</sub> into the ventral hippocampus (vHPC) induced hypoxic insult and led to anxiety-related behaviors and deficit sociability in mice. NRG1 treatment significantly alleviated the CoCl<sub>2</sub>-induced increase of hypoxic-related molecules and behavioral abnormalities. Furthermore, NRG1 reduced the CoCl<sub>2</sub>-induced neuroinflammation and neuronal deficits in the vHPC or primary hippocampal neurons in mice. Collectively, these results suggest that NRG1 ameliorates hypoxia by alleviating synaptic deficits and behavioral abnormalities of the CoCl<sub>2</sub>-induced vHPC hypoxic model.",2023-Feb,Neurobiology of disease,Journal Article,2023,YES
36199865,Sleep disorders in higher education students: Modifiable and non-modifiable risk factors.,"Poor sleep quality among higher education students is a world public health problem that can lead to a decrease of the concentration and consequently the academic performance. This study aimed to determine sleep quality among higher education students and to verify its association with internet addiction and psychological disorders (anxiety and depression). The sample comprised 148 higher education students of the south of Portugal, being 108 (73%) female, aged between 18 and 54 years old. The measuring instrument included a sociodemographic questionnaire, the Pittsburgh Sleep Quality Index, the Internet Addiction Test, and the Hospital Anxiety and Depression Scale. Fifty-five (37.2%) students had a good sleep quality, 77 (52%) poor sleep quality, and 16 (10.8%) a severe sleep disorder. Forty-one (27.7%) students said that they went to bed between 12:00 am and 12.30 am and 37 (25%) between 11 pm and 11.30 pm. The sleep duration was 7:08±1:31. Fifty (48.1%) students who classified with poor sleep quality classified themselves as good sleepers (p≤0.001). Internet addiction was not associated with poor sleep quality. Students who present anxiety and/or depression symptoms had 0.31 (CI: 0.135-0.71; p=0.005) more probabilities to have sleep disorders compared to those who did not show these symptoms. This study found that most of the analyzed students present a poor quality of sleep and this was associated with a presence of anxiety and/or depression. It becomes necessary to develop sleep hygiene education programs for prevention and treatment of sleep disturbances in this population.",2022,Northern clinics of Istanbul,Journal Article,2022,YES
37891874,Novel Heme Oxygenase-1 Inducers Palliate Inflammatory Pain and Emotional Disorders by Regulating NLRP3 Inflammasome and Activating the Antioxidant Pathway.,"Chronic pain caused by persistent inflammation is current in multiple diseases and has a strong negative impact on society. It is commonly associated with several mental illnesses, which can exert a negative influence on pain perception, and needs to be eradicated. Nevertheless, actual therapies are not sufficiently safe and effective. Recent reports demonstrate that the induction of heme oxygenase-1 (HO-1) enzyme produces analgesic effects in animals with osteoarthritis pain and reverses the grip strength loss caused by sciatic nerve crush. In this research, we evaluated the potential use of three new HO-1 inducers, 1m, 1a, and 1b, as well as dimethyl fumarate (DMF), for treating persistent inflammatory pain induced by the subplantar injection of complete Freud's adjuvant and the functional deficits and emotional sickness associated. The modulator role of these treatments on the inflammatory and antioxidant pathways were also assessed. Our findings revealed that repeated treatment, for four days, with 1m, 1a, 1b, or DMF inhibited inflammatory pain, reversed grip strength deficits, and reversed the linked anxious- and depressive-like behaviors, with 1m being the most effective. These treatments also suppressed the up-regulation of the inflammasome NLRP3 and activated the expression of the Nrf2 transcription factor and the HO-1 and superoxide dismutase 1 enzymes in the paw and/or amygdala, thus revealing the anti-inflammatory and antioxidant capacity of these compounds during inflammatory pain. Results suggest the use of 1m, 1a, 1b, and DMF, particularly 1m, as promising therapies for inflammatory pain and the accompanying functional disabilities and emotional diseases.",2023-Sep-23,"Antioxidants (Basel, Switzerland)",Journal Article,2023,YES
37882108,Benefits of adaptive cognitive training on cognitive abilities in women treated for primary breast cancer: Findings from a 1-year randomised control trial intervention.,"While adaptive cognitive training is beneficial for women with a breast cancer diagnosis, transfer effects of training benefits on perceived and objective measures of cognition are not substantiated. We investigated the transfer effects of online adaptive cognitive training (dual n-back training) on subjective and objective cognitive markers in a longitudinal design. Women with a primary diagnosis of breast cancer completed 12 sessions of adaptive cognitive training or active control training over 2 weeks. Objective assessments of working memory capacity (WMC), as well as performance on a response inhibition task, were taken while electrophysiological measures were recorded. Self-reported measures of cognitive and emotional health were collected pre-training, post-training, 6-month, and at 1-year follow-up times. Adaptive cognitive training resulted in greater WMC on the Change Detection Task and improved cognitive efficiency on the Flanker task together with improvements in perceived cognitive ability and depression at 1-year post-training. Adaptive cognitive training can improve cognitive abilities with implications for long-term cognitive health in survivorship.",2023-Dec,Psycho-oncology,Journal Article,2023,YES
38163568,Circulating mitochondrial long non-coding 7S RNA in primary health care patients with depression/anxiety.,"The significant role of long non-coding 7S RNA in controlling mitochondrial transcription highlights its importance in mitochondrial function. Considering the suggested connection between mitochondrial dysfunction and the onset of mental disorders, this study aimed to explore the potential involvement of 7S RNA in the context of depression/anxiety. A total of 181 patients in primary health care (age 20-64 years) with depression/anxiety and 59 healthy controls were included in the study. 7S RNA was measured using quantitative real-time PCR in plasma samples collected before (baseline) and after 8 weeks of treatment (mindfulness or cognitive-based behavioral therapy). Upon adjustment for age and sex, the baseline plasma levels of 7S RNA were significantly higher in patients than in healthy controls (p < 0.001). Notably, post-treatment, there was a significant reduction in 7S RNA levels (p = 0.03). These changes in 7S RNA were related to the treatment response, as indicated by HADS-D (Hospital Anxiety and Depression Scale) scores (ß = -0.04, p = 0.04), even after accounting for baseline scores and other cofounders. The findings of this study indicate an association between plasma 7S RNA levels and depression/anxiety, as well as treatment response. While further confirmatory analyses are necessary, plasma 7S RNA holds promise as a potential predictive biomarker for both depression/anxiety and the treatment response within these disorders.",2024-Mar-15,Journal of affective disorders,Journal Article,2024,YES
37981724,Psychological Health Among Older Adults During and After Quarantine: A Multi-Method Study.,"Depression among older adults is a growing problem. With aging being a risk factor for COVID-19 infection, depression in this population may have been exacerbated. This study aimed to describe experiences and changes in depressive symptoms and well-being of older adults during and after the COVID-19 first wave in Spain. The study used a multi-method design. Participants self-reported depressive symptoms (Geriatric Depression Scale) and well-being (Cantril Ladder of Life). Participants were asked about changes in depressive symptoms or well-being during quarantine. If a change was perceived, they were asked to describe the change. In addition, the Patient Global Impression of Change scale was used. Both quantitative and qualitative analyses were performed on the data. 111 participants (mean age: 71±5 years; 76% women) completed the study. Sixty-three percent reported mild and 2% reported major depressive symptoms. Nearly half (47.7%) reported changes in depressive symptoms during the lockdown. While 37% reported feeling better during the lockdown, about 11% reported depressive symptoms were worse now compared with during the lockdown. 60% reported worsening well-being during the quarantining period. The qualitative analysis revealed 2 main themes: (1) psychological discomfort (mood deflection, fear/worries, and boredom/inactivity) and (2) social issues (inability to go out, missing family members and others). Worsening depressive symptoms and lowering of well-being were noticed in this sample of older adults during and post-COVID lockdowns. Evaluation of mental health in the primary care setting and providing referrals for mental health services is essential for older adults who experienced COVID-19-related lockdowns.",2024-Jan,Western journal of nursing research,Journal Article,2024,YES
