pmid,title,abstract,date,journal,publication_type,year
36251340,Biobehavioral factors predict an exosome biomarker of ovarian carcinoma disease progression.,"Biobehavioral factors such as social isolation and depression have been associated with disease progression in ovarian and other cancers. Here, the authors developed a noninvasive, exosomal RNA profile for predicting ovarian cancer disease progression and subsequently tested whether it increased in association with biobehavioral risk factors. Exosomes were isolated from plasma samples from 100 women taken before primary surgical resection or neoadjuvant (NACT) treatment of ovarian carcinoma and 6 and 12 months later. Biobehavioral measures were sampled at all time points. Plasma from 76 patients was allocated to discovery analyses in which morning presurgical/NACT exosomal RNA profiles were analyzed by elastic net machine learning to identify a biomarker predicting rapid (≤6 months) versus more extended disease-free intervals following initial treatment. Samples from a second subgroup of 24 patients were analyzed by mixed-effects linear models to determine whether the progression-predictive biomarker varied longitudinally as a function of biobehavioral risk factors (social isolation and depressive symptoms). An RNA-based molecular signature was identified that discriminated between individuals who had disease progression in ≤6 months versus >6 months, independent of clinical variables (age, disease stage, and grade). In a second group of patients analyzed longitudinally, social isolation and depressive symptoms were associated with upregulated expression of the disease progression propensity biomarker, adjusting for covariates. These data identified a novel exosome-derived biomarker indicating propensity of ovarian cancer progression that is sensitive to biobehavioral variables. This derived biomarker may be potentially useful for risk assessment, intervention targeting, and treatment monitoring.",2022-Dec-01,Cancer,Journal Article,2022
36194458,A Video-Delivered Family Therapeutic Intervention for Perinatal Women With Clinically Significant Depressive Symptoms and Family Conflict: Indicators of Feasibility and Acceptability.,"Variation in family therapeutic intervention fidelity has an impact on outcomes. The use of video conferencing technology can strengthen therapist fidelity to family therapeutic interventions. This article explores indicators of feasibility and acceptability for a video-delivered family therapeutic intervention for perinatal women with depressive symptoms and family conflict. The objectives of this article are to describe indicators of feasibility, including therapist fidelity to the intervention and technological factors that relate to implementation of the intervention, as well as indicators of acceptability for participants of the intervention. The data included in this article are from an ongoing randomized trial of the Resilience Enhancement Skills Training (REST) video-delivered family therapeutic intervention. Participant recruitment and data collection are still underway for this clinical trial. Of the 106 participants who are currently enrolled in this study, 54 (51%) have been randomized to receive REST from May 2021 through July 2022. Currently, 2 therapists are delivering the intervention, and the training procedures for therapists are summarized herein. Therapist fidelity to the family therapeutic intervention was assessed in 67 audio recorded sessions. The training procedures were summarized for use of video conferencing technology by therapists and the 54 study participants. Knowledge of the video conferencing technology features was assessed in therapists and study participants by the number of attempts required to use the features. Participant responsiveness to the intervention was assessed by the percentage of attended sessions and percentage of complete homework assignments. To date, both therapists have demonstrated high fidelity to the family therapeutic intervention and used all video conferencing technology features on their first attempt. The current participants required 1 to 3 attempts to use 1 or more of the video conferencing technology features. About 59% (n=32) of the current participants immediately accessed the features on the first attempt. Our results show that perinatal women attended all sessions, and their family members attended 80% of the sessions. To date, participants have completed 80% of the homework assignments. These early findings describe indicators of the feasibility and acceptability of the video-delivered family therapeutic intervention for use with this high priority population. Upon completion of recruitment and data collection, a subsequent article will include a mixed methods process evaluation of the feasibility and acceptability of the video-delivered family therapeutic intervention. ClinicalTrials.gov NCT04741776; https://clinicaltrials.gov/ct2/show/NCT04741776.",2022-Oct-04,JMIR formative research,Journal Article,2022
36460125,Salivary cortisol levels and appraisals of daily hassles across dimensions of the tripartite model of anxiety and depression in emerging adults.,"The objective of this study was to investigate how cortisol levels and appraisals of daily hassles differ across tripartite dimensions of depression and anxiety in emerging adults. Data collected from a sample of undergraduate students at a large Midwestern university was used to investigate these aims. This included salivary cortisol data collected over four days, scores on a measure of the tripartite model of anxiety and depression, and scores on a measure of daily hassles administered everyday for two weeks. Generalized estimating equations and multilevel modeling techniques were used to analyze data. Elevated cortisol levels during the awakening period and the evening period, lower total levels across the day, steeper diurnal slopes, and elevated levels of negative affect and physiological hyperarousal predicted experiences of daily hassles. Tripartite dimensions were unrelated to cortisol indices. The present study demonstrates the utility of modeling multiple cortisol indices and provides evidence of differential associations between physiological and phenomenological indices of stress.",2023-Jan,Biological psychology,Journal Article,2023
36248709,Effectiveness of a community-based peer support service among persons suffering severe mental illness in China.,"Community-based peer support service is widely and effectively deployed for persons suffering severe mental illness (SMI) in countries with well-developed outpatient mental health systems. The objective of this study is to evaluate the effectiveness of a 1-year peer service project among persons with SMI implemented in China. A total of 101 consumers (service recipients) and 66 family caregivers were recruited at baseline from communities located in Beijing and Chengdu. Severity of psychiatric symptoms, personal and social functioning, self-esteem, life satisfaction, and medication adherence were evaluated among consumers. Self-esteem, life satisfaction, anxiety, and depressive symptoms were assessed among family caregivers. Participants were reevaluated at 1 year with the same measures. Changes in outcomes from baseline to 1-year follow-up were examined using paired sample <i>t</i> tests or Stuart-Maxwell tests. Consumers' psychiatric symptoms were decreased at 1 year (<i>p</i> < 0.001). Their personal and social functioning (<i>p</i> = 0.003) and life satisfaction (<i>p</i> < 0.001) were increased. There were no improvements in self-esteem (<i>p</i> = 0.108) and medication adherence (<i>ps</i> ≥ 0.827) among consumers. For caregivers, no increases were presented in outcomes at the 1-year assessment (<i>ps</i> ≥ 0.164). The findings suggest that peer support services could be sustainably implemented across China, with positive impacts on the psychiatric symptoms, social functioning, and life satisfaction of participants suffering SMI.",2022,PeerJ,Journal Article,2022
36573349,Astrocytic aryl hydrocarbon receptor mediates chronic kidney disease-associated mental disorders involving GLT1 hypofunction and neuronal activity enhancement in the mouse brain.,"Chronic kidney disease (CKD)-associated mental disorders have been attributed to the excessive accumulation of hemodialysis-resistant indoxyl-3-sulfate (I3S) in the brain. I3S not only induces oxidative stress but is also a potent endogenous agonist of the aryl hydrocarbon receptor (AhR). Here, we investigated the role of AhR in CKD-induced brain disorders using a 5/6 nephrectomy-induced CKD mouse model, which showed increased I3S concentration in both blood and brain, anxiety and impaired novelty recognition, and AhR activation in the anterior cortex. GFAP<sup>+</sup> reactive astrocytes were increased accompanied with the reduction of glutamate transporter 1 (GLT1) on perineuronal astrocytic processes (PAPs) in the anterior cingulate cortex (ACC) in CKD mice, and these alterations were attenuated in both neural lineage-specific and astrocyte-specific Ahr conditional knockout mice (nAhrCKO and aAhrCKO). By using chronic I3S treatment in primary astrocytes and glia-neuron (GN) mix cultures to mimic the CKD brain microenvironment, we also found significant reduction of GLT1 expression and activity in an AhR-dependent manner. Chronic I3S treatment induced AhR-dependent pro-oxidant Nox1 and AhR-independent anti-oxidant HO-1 expressions. Notably, AhR mediates chronic I3S-induced neuronal activity enhancement and synaptotoxicity in GN mix, not neuron-enriched cortical culture. In CKD mice, neuronal activity enhancement was observed in ACC and hippocampal CA1, and these responses were abrogated by both nAhrCKO and aAhrCKO. Finally, intranasal AhR antagonist CH-223191 administration significantly ameliorated the GLT1/PAPs reduction, increase in c-Fos<sup>+</sup> neurons, and memory impairment in the CKD mice. Thus, astrocytic AhR plays a crucial role in the CKD-induced disturbance of neuron-astrocyte interaction and mental disorders.",2023-Apr,Glia,Journal Article,2023
36592864,Neuregulin-1 reverses anxiety-like behavior and social behavior deficits induced by unilateral micro-injection of CoCl<sub>2</sub> into the ventral hippocampus (vHPC).,"Neuregulin-1 (NRG1) is an epidermal growth factor family member with essential roles in the developing and adult nervous systems. In recent years, establishing evidence has collectively suggested that NRG1 is a new modulator of central nervous system (CNS) injury and disease, with multifaceted roles in neuroprotection, remyelination, neuroinflammation, and other repair mechanisms. NRG1 signaling exerts its effects via the tyrosine kinase receptors ErbB2-ErbB4. The NRG1/ErbB network in CNS pathology and repair has evolved, primarily in recent years. In the present study, we demonstrated that a unilateral microinjection of CoCl<sub>2</sub> into the ventral hippocampus (vHPC) induced hypoxic insult and led to anxiety-related behaviors and deficit sociability in mice. NRG1 treatment significantly alleviated the CoCl<sub>2</sub>-induced increase of hypoxic-related molecules and behavioral abnormalities. Furthermore, NRG1 reduced the CoCl<sub>2</sub>-induced neuroinflammation and neuronal deficits in the vHPC or primary hippocampal neurons in mice. Collectively, these results suggest that NRG1 ameliorates hypoxia by alleviating synaptic deficits and behavioral abnormalities of the CoCl<sub>2</sub>-induced vHPC hypoxic model.",2023-Feb,Neurobiology of disease,Journal Article,2023
36230412,Effect of Acute Cold Stress on Neuroethology in Mice and Establishment of Its Model.,"Cold environment is an inevitable stress source for humans and livestock in cold areas, which easily induce a cold stress response and then cause a series of abnormal changes in energy metabolism, neuroendocrine system, behavior and emotion. Homeostasis is maintained by the unified regulation of the autonomic nervous system, endocrine system, metabolism and behavior under cold exposure. Behavior is an indispensable part of the functional regulation of the body to respond to environmental changes. At present, the behavioral changes caused by cold exposure are unclear or even chaotic due to the difficulty of defining cold stress. Therefore, this study aims to systematically observe the changes in spontaneous movement, exploratory behavior and anxiety of mice under different intensity cold exposure and summarize the characteristics and behavior traits combined with relevant blood physiological indexes under corresponding conditions. Mice models of cold stress with different intensities were established (cold exposure gradients were 22 °C, 16 °C, 10 °C and 4 °C, and time gradients of each temperature were 2 h, 4 h, 6 h, 8 h, 10 h and 12 h). After the corresponding cold exposure treatment, mice immediately carried out the open field test(OFT) and elevated plus maze test (PMT) to evaluate their spontaneous movement, exploratory behavior and anxiety. Subsequently, blood samples were collected and used for the determination of corticosterone (Cort), corticotropin-releasing hormone (CRH), epinephrine (E), norepinephrine (NE), dopamine (DA) and 5-hydroxytryptamine (5-HT) by enzyme-linked immunosorbent assay (ELISA). Spontaneous movement of mice increased under 22 °C cold exposure, but their exploration behavior did not significantly change, and their anxiety improved at the initial stage. The spontaneous movement and anxiety of mice increased in the initial stage and decreased in the later stage under cold exposure at 16, 10 and 4 °C and the exploratory behavior was inhibited. The hypothalamic-pituitary-adrenal (HPA) axis and locus coeruleus-noradrenergic (LC/NE) system were activated by cold stress and fluctuated with different intensities of cold exposure. Meanwhile, serum DA increased, and 5-HT was the opposite under different intensities of cold exposure. In conclusion, mild acute cold exposure promoted the spontaneous movement, increased exploratory behavior and improved anxiety. As the intensity of cold exposure increases, cold exposure had a negative effect on spontaneous movement, exploratory behavior and emotion. The physiological basis of these behavioral and emotional changes in mice under different intensity cold stimulation is the fluctuation of Cort, CRH, E, NE, DA and 5-HT.",2022-Oct-04,Animals : an open access journal from MDPI,Journal Article,2022
36199865,Sleep disorders in higher education students: Modifiable and non-modifiable risk factors.,"Poor sleep quality among higher education students is a world public health problem that can lead to a decrease of the concentration and consequently the academic performance. This study aimed to determine sleep quality among higher education students and to verify its association with internet addiction and psychological disorders (anxiety and depression). The sample comprised 148 higher education students of the south of Portugal, being 108 (73%) female, aged between 18 and 54 years old. The measuring instrument included a sociodemographic questionnaire, the Pittsburgh Sleep Quality Index, the Internet Addiction Test, and the Hospital Anxiety and Depression Scale. Fifty-five (37.2%) students had a good sleep quality, 77 (52%) poor sleep quality, and 16 (10.8%) a severe sleep disorder. Forty-one (27.7%) students said that they went to bed between 12:00 am and 12.30 am and 37 (25%) between 11 pm and 11.30 pm. The sleep duration was 7:08±1:31. Fifty (48.1%) students who classified with poor sleep quality classified themselves as good sleepers (p≤0.001). Internet addiction was not associated with poor sleep quality. Students who present anxiety and/or depression symptoms had 0.31 (CI: 0.135-0.71; p=0.005) more probabilities to have sleep disorders compared to those who did not show these symptoms. This study found that most of the analyzed students present a poor quality of sleep and this was associated with a presence of anxiety and/or depression. It becomes necessary to develop sleep hygiene education programs for prevention and treatment of sleep disturbances in this population.",2022,Northern clinics of Istanbul,Journal Article,2022
37917489,"Children underperform following ""math"" but not ""spatial"" task framing.","Increasing evidence suggests that success in science, technology, engineering, and math (STEM) fields is not only dependent upon one's actual STEM-relevant abilities but also upon one's STEM-relevant attitudes-in particular, math and spatial attitudes. Here, we examine whether simply mentioning the math or spatial relevance of a task affects children's performance and the moderating role of children's math and spatial attitudes. Further, we examine gender differences in performance given pervasive gender gaps in STEM and early-emerging gender differences in math and spatial attitudes. Participants (221 first- to fourth-grade children from the United States; 113 girls, 108 boys; 52% White, 16% Black, 14% Asian, 9% Hispanic or Latinx, 18% multiple races/ethnicities) were introduced to a novel task framed as tapping into math or spatial abilities (or no framing [control condition]). Children then completed math and spatial anxiety and self-concept measures. Results indicate that children who heard the math task framing were less accurate relative to children in the control condition, and the effect was larger for those with higher math anxiety or lower math self-concept, but it was not different for boys and girls. Children who heard the spatial task framing, however, performed comparably to children in the control condition. Though both math and spatial attitudes revealed identical patterns of gender differences (with higher anxiety and lower self-concept in girls than boys), there were no gender differences in performance. This study highlights the salient role of math attitudes early in development and provides key insights for future work aimed at increasing STEM outcomes. (PsycInfo Database Record (c) 2024 APA, all rights reserved).",2024-Feb,Developmental psychology,Journal Article,2024
38023995,Comparison of Analgesic Effects of Ketorolac Plus Apotel to Meperidine in Patients Undergoing Right Thoracotomy: A Double-Blind Randomized Clinical Trial.,"Postoperative pain management using nonsteroidal anti-inflammatory drugs with no narcotic-attributed adverse effects, such as respiratory depression, nausea, and vomiting, is still the subject of extensive research. However, concerns about bleeding and nephrotoxicity have limited routine use. The present trial aimed to compare the effects of ketorolac/apotel and meperidine on postoperative pain relief in patients undergoing thoracotomy. This randomized controlled trial enrolled 122 patients who were candidates for right thoracotomy. The patients were randomly divided into two groups that received ketorolac (30 mg)/apotel (1 g) or meperidine (0.5 - 1 mg/kg) at the beginning of recovery, respectively. This study assessed the Numeric Rating Scale pain score immediately and 30 and 60 minutes after the surgery in the recovery room, blood pressure, oxygen saturation (SpO<sub>2</sub>), sweating, and pulse rate. The average pain score at recovery time was significantly lower in the ketorolac/apotel group (2.06 ± 1.40) than in the meperidine group (2.76 ± 1.61) (P = 0.011). In contrast to the ketorolac/apotel group, an increasing trend was observed in pain scores in the meperidine group throughout the time sequence (P < 0.05). However, a slight non-significant increase was also observed in the ketorolac/apotel group. No statistical differences were observed in blood pressure (P = 0.826), SpO<sub>2</sub> (P = 0.826), and pulse rate (P = 0.811) between the two study groups. This study provides support that the combination of ketorolac/apotel offers a slightly superior analgesic effect for patients undergoing thoracotomy, compared to meperidine. Pain management is crucial during recovery, and the current study's findings suggest that administering ketorolac/apotel provides effective analgesia during recovery after thoracic surgery.",2023-Aug,Anesthesiology and pain medicine,Journal Article,2023
37891874,Novel Heme Oxygenase-1 Inducers Palliate Inflammatory Pain and Emotional Disorders by Regulating NLRP3 Inflammasome and Activating the Antioxidant Pathway.,"Chronic pain caused by persistent inflammation is current in multiple diseases and has a strong negative impact on society. It is commonly associated with several mental illnesses, which can exert a negative influence on pain perception, and needs to be eradicated. Nevertheless, actual therapies are not sufficiently safe and effective. Recent reports demonstrate that the induction of heme oxygenase-1 (HO-1) enzyme produces analgesic effects in animals with osteoarthritis pain and reverses the grip strength loss caused by sciatic nerve crush. In this research, we evaluated the potential use of three new HO-1 inducers, 1m, 1a, and 1b, as well as dimethyl fumarate (DMF), for treating persistent inflammatory pain induced by the subplantar injection of complete Freud's adjuvant and the functional deficits and emotional sickness associated. The modulator role of these treatments on the inflammatory and antioxidant pathways were also assessed. Our findings revealed that repeated treatment, for four days, with 1m, 1a, 1b, or DMF inhibited inflammatory pain, reversed grip strength deficits, and reversed the linked anxious- and depressive-like behaviors, with 1m being the most effective. These treatments also suppressed the up-regulation of the inflammasome NLRP3 and activated the expression of the Nrf2 transcription factor and the HO-1 and superoxide dismutase 1 enzymes in the paw and/or amygdala, thus revealing the anti-inflammatory and antioxidant capacity of these compounds during inflammatory pain. Results suggest the use of 1m, 1a, 1b, and DMF, particularly 1m, as promising therapies for inflammatory pain and the accompanying functional disabilities and emotional diseases.",2023-Sep-23,"Antioxidants (Basel, Switzerland)",Journal Article,2023
37882108,Benefits of adaptive cognitive training on cognitive abilities in women treated for primary breast cancer: Findings from a 1-year randomised control trial intervention.,"While adaptive cognitive training is beneficial for women with a breast cancer diagnosis, transfer effects of training benefits on perceived and objective measures of cognition are not substantiated. We investigated the transfer effects of online adaptive cognitive training (dual n-back training) on subjective and objective cognitive markers in a longitudinal design. Women with a primary diagnosis of breast cancer completed 12 sessions of adaptive cognitive training or active control training over 2 weeks. Objective assessments of working memory capacity (WMC), as well as performance on a response inhibition task, were taken while electrophysiological measures were recorded. Self-reported measures of cognitive and emotional health were collected pre-training, post-training, 6-month, and at 1-year follow-up times. Adaptive cognitive training resulted in greater WMC on the Change Detection Task and improved cognitive efficiency on the Flanker task together with improvements in perceived cognitive ability and depression at 1-year post-training. Adaptive cognitive training can improve cognitive abilities with implications for long-term cognitive health in survivorship.",2023-Dec,Psycho-oncology,Journal Article,2023
38163568,Circulating mitochondrial long non-coding 7S RNA in primary health care patients with depression/anxiety.,"The significant role of long non-coding 7S RNA in controlling mitochondrial transcription highlights its importance in mitochondrial function. Considering the suggested connection between mitochondrial dysfunction and the onset of mental disorders, this study aimed to explore the potential involvement of 7S RNA in the context of depression/anxiety. A total of 181 patients in primary health care (age 20-64 years) with depression/anxiety and 59 healthy controls were included in the study. 7S RNA was measured using quantitative real-time PCR in plasma samples collected before (baseline) and after 8 weeks of treatment (mindfulness or cognitive-based behavioral therapy). Upon adjustment for age and sex, the baseline plasma levels of 7S RNA were significantly higher in patients than in healthy controls (p < 0.001). Notably, post-treatment, there was a significant reduction in 7S RNA levels (p = 0.03). These changes in 7S RNA were related to the treatment response, as indicated by HADS-D (Hospital Anxiety and Depression Scale) scores (ß = -0.04, p = 0.04), even after accounting for baseline scores and other cofounders. The findings of this study indicate an association between plasma 7S RNA levels and depression/anxiety, as well as treatment response. While further confirmatory analyses are necessary, plasma 7S RNA holds promise as a potential predictive biomarker for both depression/anxiety and the treatment response within these disorders.",2024-Mar-15,Journal of affective disorders,Journal Article,2024
37792867,"The relationship between serum leptin, insulin-like growth factor-1, and insulin-like growth factor binding protein-3 levels and clinical parameters in primary fibromyalgia patients.","The aim of this study was to investigate the levels of leptin, growth hormone, insulin-like growth factor-1, and insulin-like growth factor binding protein-3 and their relations with clinical parameters in patients with primary fibromyalgia and healthy controls. Our study was performed on 30 female patients with primary fibromyalgia and 30 healthy controls. The levels of insulin-like growth factor-1 and insulin-like growth factor binding protein-3 were measured by a two-site immunoradiometric assay. The serum level of leptin was measured by the ELISA kit. The serum level of leptin was significantly higher, but the serum levels of insulin-like growth factor-1 were significantly lower in patients with fibromyalgia syndrome than healthy controls (p<0.001). The leptin level was positively correlated with the Visual Analog Scale, Fibromyalgia Impact Questionnaire score, Beck Depression Inventory score, tender point count, age, and duration of disease (p<0.001), but it was negatively correlated with insulin-like growth factor-1 (p<0.001). The insulin-like growth factor-1 level was negatively correlated with age, Visual Analog Scale, Fibromyalgia Impact Questionnaire and Beck Depression Inventory scores, duration of disease, and tender point count (p<0.001). Our results indicate that high levels of serum leptin and low levels of serum insulin-like growth factor-1 may play a role in the physiopathogenesis of fibromyalgia and may be related to some symptoms.",2023,Revista da Associacao Medica Brasileira (1992),Journal Article,2023
37981724,Psychological Health Among Older Adults During and After Quarantine: A Multi-Method Study.,"Depression among older adults is a growing problem. With aging being a risk factor for COVID-19 infection, depression in this population may have been exacerbated. This study aimed to describe experiences and changes in depressive symptoms and well-being of older adults during and after the COVID-19 first wave in Spain. The study used a multi-method design. Participants self-reported depressive symptoms (Geriatric Depression Scale) and well-being (Cantril Ladder of Life). Participants were asked about changes in depressive symptoms or well-being during quarantine. If a change was perceived, they were asked to describe the change. In addition, the Patient Global Impression of Change scale was used. Both quantitative and qualitative analyses were performed on the data. 111 participants (mean age: 71±5 years; 76% women) completed the study. Sixty-three percent reported mild and 2% reported major depressive symptoms. Nearly half (47.7%) reported changes in depressive symptoms during the lockdown. While 37% reported feeling better during the lockdown, about 11% reported depressive symptoms were worse now compared with during the lockdown. 60% reported worsening well-being during the quarantining period. The qualitative analysis revealed 2 main themes: (1) psychological discomfort (mood deflection, fear/worries, and boredom/inactivity) and (2) social issues (inability to go out, missing family members and others). Worsening depressive symptoms and lowering of well-being were noticed in this sample of older adults during and post-COVID lockdowns. Evaluation of mental health in the primary care setting and providing referrals for mental health services is essential for older adults who experienced COVID-19-related lockdowns.",2024-Jan,Western journal of nursing research,Journal Article,2024
38025419,The role of IL-33 in depression: a systematic review and meta-analysis.,"Depression has long been considered a disease involving immune hyperactivation. The impact of pro-inflammatory cytokines such as TNF-α, IL-1β, IL-6, and IL-8 on depression has been widely studied. However, the effect of IL-33, another pro-inflammatory cytokine, has been less researched. Currently, research on the correlation between IL-33 and depression risk is inconsistent. In response to these divergent results, we conducted a review and meta-analysis aimed at resolving published research on the correlation between IL-33 and depression risk, and understanding the potential role of IL-33 in the development and treatment of depression. After searching different databases, we analyzed 8 studies. Our meta-analysis showed that IL-33 had a positive correlation with reduced risk of depression. The pooled standard mean differences (SMD) = 0.14, 95% confidence interval (CI): 0.05-0.24. Subgroup analysis results showed that IL-33 and ST2 levels in cerebrospinal fluid and serum is positive correlated with reduced risk of major depressive disorder (MDD) and bipolar disorder (BD). According to the characteristics of the included literature, the results mainly focuses on Caucasian. Furthermore, according to the subgroup analysis of depression-related data sources for disease or treatment, the correlation between IL-33 and depression risk is reflected throughout the entire process of depression development and treatment. Therefore, the change of IL-33 level in serum and cerebrospinal fluid can serve as useful indicators for assessing the risk of depression, and the biomarker provides potential treatment strategies for reducing the burden of the disease.",2023,Frontiers in psychiatry,Journal Article,2023
37880829,Prescription psychostimulants for the treatment of amphetamine-type stimulant use disorder: A systematic review and meta-analysis of randomized placebo-controlled trials.,"There is currently no standard of care for pharmacological treatment of amphetamine-type stimulant (ATS) use disorder (ATSUD). This systematic review with meta-analysis (PROSPERO CRD42022354492) aimed to pool results from randomized placebo-controlled trials (RCTs) to evaluate efficacy and safety of prescription psychostimulants (PPs) for ATSUD. Major indexing sources and trial registries were searched to include records published before 29 August 2022. Eligible studies were RCTs evaluating efficacy and safety of PPs for ATSUD. Risk of bias (RoB) was assessed using the Cochrane RoB 2 tool. Risk ratio (RR) and risk difference were calculated for random-effect meta-analysis of dichotomous variables. Mean difference and standardized mean difference (SMD) were calculated for random-effect meta-analysis of continuous variables. Ten RCTs (n = 561 participants) were included in the meta-analysis. Trials studied methylphenidate (n = 7), with daily doses of 54-180 mg, and dextroamphetamine (n = 3), with daily doses of 60-110 mg, for 2-24 weeks. PPs significantly decreased end-point craving [SMD  -0.29; 95% confidence interval (CI) = -0.55, -0.03], while such a decrease did not reach statistical significance for ATS use, as evaluated by urine analysis (UA) (RR = 0.93; 95% CI = 0.85-1.01). No effect was observed for self-reported ATS use, retention in treatment, dropout following adverse events, early-stage craving, withdrawal and depressive symptoms. In a sensitivity analysis, treatment was associated with a significant reduction in UA positive for ATS (RR = 0.89; 95% CI = 0.79-0.99) after removing studies with a high risk of bias. In subgroup analyses, methylphenidate and high doses of PPs were negatively associated with ATS use by UA, while higher doses of PPs and treatment duration (≥ 20 weeks) were positively associated with longer retention. Among individuals with amphetamine-type stimulant use disorder, treatment with prescription psychostimulants may decrease ATS use and craving. While effect size is limited, it may increase with a higher dosage of medications.",2024-Feb,"Addiction (Abingdon, England)",Journal Article,2024
38247415,A Deep Learning Driven Simulation Analysis of the Emotional Profiles of Depression Based on Facial Expression Dynamics.,": Diagnosis and assessment of depression rely on scoring systems based on questionnaires, either self-reported by patients or administered by clinicians, and observation of patient facial expressions during the interviews plays a crucial role in making impressions in clinical settings. Deep learning driven approaches can assist clinicians in the course of diagnosis of depression by recognizing subtle facial expressions and emotions in depression patients. : Seventeen simulated patients who acted as depressed patients participated in this study. A trained psychiatrist structurally interviewed each participant with moderate depression in accordance with a prepared scenario and without depressive features. Interviews were video-recorded, and a facial emotion recognition algorithm was used to classify emotions of each frame. : Among seven emotions (anger, disgust, fear, happiness, neutral, sadness, and surprise), sadness was expressed in a higher proportion on average in the depression-simulated group compared to the normal group. Neutral and fear were expressed in higher proportions on average in the normal group compared to the normal group. The overall distribution of emotions between the two groups was significantly different (<i>p</i> ＜ 0.001). Variance in emotion was significantly less in the depression-simulated group (<i>p</i> ＜ 0.05). : This study suggests a novel and practical approach to understand the emotional expression of depression patients based on deep learning techniques. Further research would allow us to obtain more perspectives on the emotional profiles of clinical patients, potentially providing helpful insights in making diagnosis of depression patients.",2024-Feb-29,Clinical psychopharmacology and neuroscience : the official scientific journal of the Korean College of Neuropsychopharmacology,Journal Article,2024
37789577,Lithium in bipolar depression: A review of the evidence.,"Lithium is widely used as treatment of acute mania and as prophylactic therapy for bipolar disorder. International and national guidelines also consider lithium as a possible treatment of acute bipolar depression. Research on the use of lithium in bipolar depression, however, seems to be limited compared to the data available for its efficacy in the other phases of bipolar disorder. To provide a systematic review of the evidence for lithium in the treatment of acute bipolar depression and provide directions for further research. A systematic review of clinical studies investigating the use of lithium in bipolar depression was performed using preferred reporting items for systematic reviews and meta-analyses guidelines in Pubmed, Embase and Psychinfo using the medical subjects headings and free text terms ""lithium,"" ""bipolar depression,"" ""dosage,"" ""serum concentration"" and ""bipolar disorders."" This review included 15 studies with a total of 1222 patients, between the age of 18 and 65, suffering from bipolar depression of which 464 were treated with lithium. There are currently only limited and low-quality data on the efficacy of lithium as a treatment of bipolar depression. It appears that there have been no placebo controlled randomized controlled trials with lithium concentrations that are considered to be therapeutic. The older studies suffered from limitations such as small sample sizes, insufficient treatment lengths, and insufficient monitoring of serum concentrations. In contrast to data for the treatment of mania and prophylaxis, robust data on the efficacy of lithium in bipolar depression is currently lacking, making it impossible to make conclusions regarding efficacy or inefficacy, for which further research is needed.",2023-Sep,Human psychopharmacology,Journal Article,2023
38087201,Exploring the adaptive leisure activities of classified nursing model in elderly colon cancer patients: a perspective on interactive care.,"The aims of the study were first to explore the adaptive leisure activities of classified nursing model from the perspective of nurse-patient interactive care, and to explore its impact on the physical and mental health of patients with colon cancer. From September 2017 to March 2022 as the observation time node, 82 patients with colon cancer who met the established inclusion and exclusion criteria were regarded as the research objects through the random number table as the grouping tool. The two groups of patients were named as the research group and the control group, with 41 patients in each group. The control group implemented routine nursing measures, and the research group implemented classified nursing mode and adaptive leisure activity mode. The two groups of patients received 4 weeks of nursing intervention. With the help of self-rating anxiety scale, self-rating depression scale, self-care ability evaluation scale and health status survey brief form, the two groups of patients were compared before intervention and at the end of the 4th week after intervention. After the intervention, the anxiety score (t = 6.656, p < 0.001) and depression score (t = 4.851, p < 0.001) of the research group were lower than those of the control group, and the difference was statistically significant. After the intervention, the self-concept (t = 4.845, p < 0.001), self-responsibility (t = 6.071, p < 0.001), self-care skills (t = 3.341, p < 0.001), health knowledge (t = 3.698, p < 0.001) and total score (t = 9.246, p < 0.001) of the research group were higher than those of the control group, and the difference was statistically significant. After the intervention, physical functioning (t = 8.141, p < 0.001), bodily pain (t = 6.083, p < 0.001), general health (t = 9.424, p < 0.001), role-physical (t = 8.057, p < 0.001), role-emotional (t = 13.252, p < 0.001), mental health (t = 12.565, p < 0.001), social functioning (t = 10.813, p < 0.001) and vitality score (t = 12.890, p < 0.001) of the research group were higher than those of the control group, with significant differences. Interactive care through adaptive leisure nursing improves mental well-being, self-management, and psychosocial functioning in elderly colon cancer patients, promoting overall health.",2023-Dec-12,BMC palliative care,Journal Article,2023
